City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
>ALASKA,,,,,,,,,,,,
Anchorage,301239.0,3226.0,26.0,517.0,,621.0,2062.0,11801.0,1685.0,8962.0,1154.0,106.0
Bethel,6497.0,94.0,2.0,20.0,,9.0,63.0,172.0,58.0,76.0,38.0,7.0
Bristol Bay Borough,942.0,0.0,0.0,0.0,,0.0,0.0,6.0,1.0,3.0,2.0,0.0
Cordova,2220.0,6.0,0.0,0.0,,0.0,6.0,16.0,3.0,13.0,0.0,0.0
Craig,1265.0,7.0,0.0,0.0,,0.0,7.0,21.0,7.0,14.0,0.0,0.0
Dillingham,2411.0,43.0,0.0,15.0,,3.0,25.0,56.0,11.0,41.0,4.0,0.0
Fairbanks,32677.0,157.0,1.0,14.0,,24.0,118.0,1192.0,149.0,938.0,105.0,7.0
Haines,2567.0,10.0,0.0,1.0,,0.0,9.0,24.0,12.0,12.0,0.0,0.0
Homer,5511.0,7.0,0.0,0.0,,1.0,6.0,193.0,13.0,177.0,3.0,0.0
Juneau,32482.0,285.0,4.0,73.0,,28.0,180.0,1222.0,168.0,995.0,59.0,9.0
Kenai,7680.0,52.0,3.0,20.0,,3.0,26.0,324.0,25.0,288.0,11.0,0.0
Ketchikan,8286.0,31.0,1.0,6.0,,0.0,24.0,285.0,20.0,251.0,14.0,0.0
Kodiak,6345.0,47.0,0.0,5.0,,4.0,38.0,217.0,38.0,154.0,25.0,1.0
Kotzebue,3304.0,87.0,0.0,16.0,,8.0,63.0,203.0,62.0,112.0,29.0,4.0
Nome,3832.0,47.0,0.0,1.0,,1.0,45.0,45.0,9.0,30.0,6.0,0.0
North Pole,2190.0,9.0,0.0,0.0,,3.0,6.0,117.0,8.0,98.0,11.0,0.0
North Slope Borough,9707.0,80.0,0.0,9.0,,1.0,70.0,102.0,35.0,47.0,20.0,4.0
Palmer,6652.0,22.0,0.0,6.0,,0.0,16.0,121.0,14.0,98.0,9.0,0.0
Petersburg,3130.0,10.0,0.0,1.0,,0.0,9.0,83.0,12.0,63.0,8.0,1.0
Seward,2489.0,13.0,0.0,1.0,,1.0,11.0,47.0,12.0,33.0,2.0,0.0
Sitka,8850.0,14.0,0.0,0.0,,1.0,13.0,147.0,10.0,132.0,5.0,1.0
Skagway,1049.0,0.0,0.0,0.0,,0.0,0.0,20.0,3.0,17.0,0.0,0.0
Soldotna,4512.0,30.0,0.0,5.0,,0.0,25.0,176.0,15.0,145.0,16.0,3.0
Unalaska,4554.0,10.0,0.0,2.0,,0.0,8.0,50.0,3.0,41.0,6.0,0.0
Valdez,3903.0,12.0,0.0,2.0,,0.0,10.0,82.0,5.0,71.0,6.0,0.0
Wasilla,9099.0,38.0,0.0,1.0,,8.0,29.0,637.0,49.0,532.0,56.0,0.0
Wrangell,2351.0,1.0,0.0,1.0,,0.0,0.0,32.0,8.0,22.0,2.0,0.0
